case_id,problem,pool,composition_model,mechanism_id,partition,variant,baseline_variant,baseline_complete,candidate_complete,total_actual_time_delta_s,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,walk_distance_m_delta,measures_delta,clear_attempts_delta,failed_clear_attempts_delta,component_residual_s
stage3-round-broad-p3-0046-40a88dc85efcbb98,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_300,development,immediate,joint,True,True,2071.0140650000003,2031.0140703596953,0,-20,60,0,10155.070351798477,0,20,20,-5.3596950237988494e-06
stage3-round-broad-p3-0046-40a88dc85efcbb98,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_300,development,scan_then_clear,joint,True,True,854.9316900000003,838.9316915197032,0,-5,21,0,4194.658457598518,0,7,7,-1.5197028915281408e-06
stage3-round-broad-p3-0047-3a8967fc301b1ec3,3,broad,broad_joint,assumption__radius_min__noise_extreme__scale_300,development,immediate,joint,True,True,828.4416340000007,800.4416353669458,0,-14,42,0,4002.2081768347307,0,14,14,-1.3669450709130615e-06
stage3-round-broad-p3-0047-3a8967fc301b1ec3,3,broad,broad_joint,assumption__radius_min__noise_extreme__scale_300,development,scan_then_clear,joint,True,True,-6.8557819999996354,-17.855783310629704,0,-4,15,0,-89.2789165531467,0,5,5,1.3106300684739836e-06
stage3-round-broad-p3-0048-5bb00aa53c201958,3,broad,broad_joint,assumption__radius_max__noise_deterministic__scale_300,development,immediate,joint,True,True,4318.631835,4224.63184343136,-35,-27,156,0,21123.159217156797,-7,52,52,-8.431359674432315e-06
stage3-round-broad-p3-0048-5bb00aa53c201958,3,broad,broad_joint,assumption__radius_max__noise_deterministic__scale_300,development,scan_then_clear,joint,True,True,655.5622830000002,696.5622867133852,0,-5,-36,0,3482.811433566927,0,-12,-12,-3.7133850128157064e-06
stage3-round-broad-p3-0051-9b15d123e4f6af29,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_300,development,immediate,joint,True,True,3115.093801,3058.093803833155,0,-18,75,0,15290.469019165776,0,25,25,-2.8331551220617257e-06
stage3-round-broad-p3-0051-9b15d123e4f6af29,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_300,development,scan_then_clear,joint,True,True,1156.6696970000003,1160.6696980375555,0,-4,0,0,5803.348490187778,0,0,0,-1.0375551937613636e-06
stage3-round-broad-p3-0053-e5657ccaf4327b3f,3,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_300,development,immediate,joint,True,True,1743.0528519999998,1735.052855303241,0,-19,27,0,8675.264276516202,0,9,9,-3.3032411010935903e-06
stage3-round-broad-p3-0053-e5657ccaf4327b3f,3,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_300,development,scan_then_clear,joint,True,True,-197.4032160000006,-160.40321590902568,0,-4,-33,0,-802.0160795451302,0,-11,-11,-9.097493602894247e-08
stage3-round-broad-p3-0054-9b971ef00a800929,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_75,development,immediate,joint,True,True,1036.3630010000002,1046.363002728201,0,-13,3,0,5231.815013641008,0,1,1,-1.7282009139307775e-06
stage3-round-broad-p3-0054-9b971ef00a800929,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_75,development,scan_then_clear,joint,True,True,906.9663869999999,894.9663865527732,0,-3,15,0,4474.831932763867,0,5,5,4.472267391975038e-07
stage3-round-broad-p3-0055-a9ded714fb066b4a,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_75,development,immediate,joint,True,True,2145.0014899999996,2150.0014920727804,-10,-22,27,0,10750.0074603639,-2,9,9,-2.072780716844136e-06
stage3-round-broad-p3-0055-a9ded714fb066b4a,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_75,development,scan_then_clear,joint,True,True,833.2601960000002,870.2601982854762,0,-4,-33,0,4351.3009914273825,0,-11,-11,-2.2854760572954547e-06
stage3-round-broad-p3-0056-57d59ccd7fd00831,3,broad,broad_joint,assumption__radius_min__noise_extreme__scale_75,development,immediate,joint,True,True,1605.5221069999998,1615.5221112288482,0,-16,6,0,8077.610556144242,0,2,2,-4.228848411003128e-06
stage3-round-broad-p3-0056-57d59ccd7fd00831,3,broad,broad_joint,assumption__radius_min__noise_extreme__scale_75,development,scan_then_clear,joint,True,True,435.82622900000024,476.82623116667855,0,-5,-36,0,2384.131155833391,0,-12,-12,-2.1666783140972257e-06
stage3-round-broad-p3-0057-9aa8ca0dc7940d8f,3,broad,broad_joint,assumption__radius_max__noise_deterministic__scale_75,development,immediate,joint,True,True,3133.8261330000005,3074.826136282597,0,-16,75,0,15374.130681412986,0,25,25,-3.2825964808580466e-06
